scene_id,object_id,owner_track_id,first_seen,separation_time,stationary_duration,status
ABND_0000,O_000,T_O000,169,226,473,unattended
ABND_0001,O_001,T_O001,192,239,385,attended
ABND_0002,O_002,T_O002,254,326,394,unattended
ABND_0003,O_003,T_O003,147,199,399,attended
ABND_0004,O_004,T_O004,190,240,346,unattended
ABND_0005,O_005,T_O005,162,,448,attended
ABND_0006,O_006,T_O006,208,278,492,unattended
ABND_0007,O_007,T_O007,163,235,331,attended
ABND_0008,O_008,T_O008,219,282,442,unattended
ABND_0009,O_009,T_O009,138,184,367,attended
ABND_0010,O_010,T_O010,149,218,337,unattended
ABND_0011,O_011,T_O011,206,,322,attended
ABND_0012,O_012,T_O012,180,251,414,unattended
ABND_0013,O_013,T_O013,188,258,496,attended
ABND_0014,O_014,T_O014,167,207,444,unattended
ABND_0015,O_015,T_O015,188,249,315,attended
ABND_0016,O_016,T_O016,194,236,389,unattended
ABND_0017,O_017,T_O017,157,209,462,attended
ABND_0018,O_018,T_O018,166,222,432,unattended
ABND_0019,O_019,T_O019,225,292,380,attended
ABND_0020,O_020,T_O020,168,216,380,unattended
ABND_0021,O_021,T_O021,194,263,292,attended
ABND_0022,O_022,T_O022,203,259,333,unattended
ABND_0023,O_023,T_O023,224,284,380,attended
