scene_id,subject_a,subject_b,start_frame,end_frame,relationship
FOLW_0000,T_L000,T_F000,0,524,following
FOLW_0001,T_L001,T_F001,0,548,normal
FOLW_0002,T_L002,T_F002,0,464,following
FOLW_0003,T_L003,T_F003,0,432,normal
FOLW_0004,T_L004,T_F004,0,540,following
FOLW_0005,T_L005,T_F005,0,588,normal
FOLW_0006,T_L006,T_F006,0,544,following
FOLW_0007,T_L007,T_F007,0,460,normal
FOLW_0008,T_L008,T_F008,0,584,following
FOLW_0009,T_L009,T_F009,0,440,normal
FOLW_0010,T_L010,T_F010,0,528,following
FOLW_0011,T_L011,T_F011,0,516,normal
FOLW_0012,T_L012,T_F012,0,520,following
FOLW_0013,T_L013,T_F013,0,580,normal
FOLW_0014,T_L014,T_F014,0,444,following
FOLW_0015,T_L015,T_F015,0,588,normal
FOLW_0016,T_L016,T_F016,0,600,following
FOLW_0017,T_L017,T_F017,0,612,normal
FOLW_0018,T_L018,T_F018,0,448,following
FOLW_0019,T_L019,T_F019,0,496,normal
FOLW_0020,T_L020,T_F020,0,484,following
FOLW_0021,T_L021,T_F021,0,520,normal
FOLW_0022,T_L022,T_F022,0,588,following
FOLW_0023,T_L023,T_F023,0,496,normal
