scene_id,zone_id,track_id,start_frame,event_type,authorization_status
RSTR_0000,ZONE_RESTRICTED,T_S000,0,entry,unverified
RSTR_0001,ZONE_RESTRICTED,T_S001,0,tailgating,unverified
RSTR_0002,ZONE_RESTRICTED,T_S002,0,boundary_pass,unverified
RSTR_0003,ZONE_RESTRICTED,T_S003,0,authorised_entry,authorised
RSTR_0004,ZONE_RESTRICTED,T_S004,0,entry,unverified
RSTR_0005,ZONE_RESTRICTED,T_S005,0,tailgating,unverified
RSTR_0006,ZONE_RESTRICTED,T_S006,0,boundary_pass,unverified
RSTR_0007,ZONE_RESTRICTED,T_S007,0,authorised_entry,authorised
RSTR_0008,ZONE_RESTRICTED,T_S008,0,entry,unverified
RSTR_0009,ZONE_RESTRICTED,T_S009,0,tailgating,unverified
RSTR_0010,ZONE_RESTRICTED,T_S010,0,boundary_pass,unverified
RSTR_0011,ZONE_RESTRICTED,T_S011,0,authorised_entry,authorised
RSTR_0012,ZONE_RESTRICTED,T_S012,0,entry,unverified
RSTR_0013,ZONE_RESTRICTED,T_S013,0,tailgating,unverified
RSTR_0014,ZONE_RESTRICTED,T_S014,0,boundary_pass,unverified
RSTR_0015,ZONE_RESTRICTED,T_S015,0,authorised_entry,authorised
RSTR_0016,ZONE_RESTRICTED,T_S016,0,entry,unverified
RSTR_0017,ZONE_RESTRICTED,T_S017,0,tailgating,unverified
RSTR_0018,ZONE_RESTRICTED,T_S018,0,boundary_pass,unverified
RSTR_0019,ZONE_RESTRICTED,T_S019,0,authorised_entry,authorised
RSTR_0020,ZONE_RESTRICTED,T_S020,0,entry,unverified
RSTR_0021,ZONE_RESTRICTED,T_S021,0,tailgating,unverified
RSTR_0022,ZONE_RESTRICTED,T_S022,0,boundary_pass,unverified
RSTR_0023,ZONE_RESTRICTED,T_S023,0,authorised_entry,authorised
