epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.783,1.4811,1.59376,1.60795,0.58879,0.34767,0.35614,0.19325,1.63203,1.50673,1.68563,0.000499777,0.000499777,0.000544301
2,904.752,1.45787,1.58232,1.6064,0.68347,0.41159,0.43927,0.26965,1.45282,1.29318,1.5502,0.000499237,0.000499237,0.000499237
3,1272.72,1.39178,1.45781,1.55589,0.67383,0.45004,0.48075,0.30098,1.36638,1.21134,1.50294,0.000496953,0.000496953,0.000496953
4,1641.95,1.36102,1.38966,1.52299,0.67245,0.46907,0.50737,0.32425,1.35583,1.16261,1.45986,0.000493162,0.000493162,0.000493162
5,2011.39,1.32627,1.33167,1.50003,0.6575,0.50062,0.54239,0.35333,1.30509,1.10648,1.44401,0.000487886,0.000487886,0.000487886
6,2379.67,1.30975,1.29652,1.48792,0.58028,0.5162,0.53007,0.34556,1.28887,1.08069,1.4193,0.00048116,0.00048116,0.00048116
7,2739.9,1.28795,1.26423,1.47019,0.64169,0.52583,0.56599,0.37113,1.26611,1.06343,1.40328,0.000473024,0.000473024,0.000473024
8,3103.05,1.28051,1.24089,1.45817,0.6271,0.5701,0.59024,0.39627,1.23868,1.006,1.37974,0.000463528,0.000463528,0.000463528
9,3467.74,1.26747,1.21492,1.44845,0.65659,0.56063,0.60016,0.39623,1.24209,0.99221,1.37505,0.000452732,0.000452732,0.000452732
10,3833.32,1.25166,1.18495,1.43575,0.6381,0.58473,0.60909,0.40855,1.22806,0.96763,1.36866,0.0004407,0.0004407,0.0004407
11,4254.55,1.24308,1.17837,1.43115,0.68201,0.57004,0.61202,0.41699,1.1999,0.95135,1.35568,0.000427509,0.000427509,0.000427509
12,4633.04,1.23461,1.15684,1.41785,0.67133,0.57538,0.62089,0.42561,1.18796,0.93701,1.33715,0.000413238,0.000413238,0.000413238
13,5003.85,1.22574,1.14119,1.41279,0.67043,0.57244,0.62353,0.4315,1.17755,0.92823,1.32797,0.000397977,0.000397977,0.000397977
14,5414.34,1.2164,1.12962,1.40568,0.68385,0.58296,0.62877,0.43527,1.17422,0.90916,1.3235,0.000381818,0.000381818,0.000381818
15,5793.18,1.20515,1.10473,1.39574,0.66914,0.61669,0.64959,0.45044,1.16752,0.89944,1.31676,0.000364863,0.000364863,0.000364863
16,6187.65,1.19856,1.09562,1.39258,0.6666,0.62385,0.64975,0.4567,1.15777,0.8923,1.31275,0.000347214,0.000347214,0.000347214
